id_estacion,Dirección,Código postal,Latitud,Longitud,Tipo,Rótulo,Tipo venta,Rem.,Margen,id_localidad
1,PUERTO DEPORTIVO LUIS CAMPOMANES S/N - PARTIDA MASCARAT,3590,38.629556,-0.003833,maritima,SIN ROTULO,Suministro a barcos deportivos o de recreo,dm,A,76
2,EXPLANADA DEL PUERTO PESQUERO S/N,3710,38.637313,0.069162,maritima,COFRADIA DE PESCADORES DE CALPE,Mixto,dm,A,91
3,PUERTO PESQUERO DE DENIA S/N,3700,38.843611,0.113056,maritima,NO HAY,Suministro a pesqueros,dm,A,99
4,DARSENA DE BABOR S/N PUERTO DE DENIA,3700,38.567556,0.119139,maritima,MARINA DE DENIA S.A,Suministro a barcos deportivos o de recreo,dm,A,99
5,AVDA. DEL PUERTO.219,3140,38.109000,-0.646278,maritima,MARINA DE LAS DUNAS (REPSOL),Mixto,dm,A,112
6,BURDEOS 1,3730,38.775722,0.186222,maritima,NOU FONTANA,Suministro a barcos deportivos o de recreo,dm,A,118
7,MUELLE NORTE S/N PUERTO DEPORTIVO 2,3130,38.189306,-0.560556,maritima,MARINA MIRAMAR,Mixto,dm,A,149
8,ZONA PORTUARIA 35,3130,38.187389,-0.558583,maritima,COFRADÍA DE PESCADORES,Mixto,dm,A,149
9,PUERTO PESQUERO,3570,38.506306,-0.218833,maritima,COFRADIA,Mixto,dm,A,156
10,MUELLE PESQUERO DE CARBONERAS S/Nº,4140,36.991802,-1.897068,maritima,REPSOL,Mixto,OM,A,177
11,PUERTO PESQUERO S/Nº,4630,37.181802,-1.819013,maritima,REPSOL,Suministro a pesqueros,OM,A,196
12,PUERTO DEPORTIVO AGUADULCE - TORRE DE CONTROL S/N,4720,36.813333,-2.562917,maritima,REPSOL,Suministro a barcos deportivos o de recreo,dm,A,218
12,PUERTO DEPORTIVO AGUADULCE - TORRE DE CONTROL S/N,4720,36.813333,-2.562917,maritima,REPSOL,Suministro a barcos deportivos o de recreo,dm,A,3469
13,EDIFICIO ANTIGUA RULA C/CLAUDIO ALVARGONZALEZ S/N,33201,43.546472,-5.666444,maritima,REPSOL,Suministro a barcos deportivos o de recreo,dm,A,302
14,PUERTO PESQUERO S/N,33700,43.546167,-6.533389,maritima,REPSOL,Suministro a pesqueros,OM,A,380
15,PASEO MARITIMO 1,7400,39.836944,3.134806,maritima,ALCUDIAMAR,Suministro a barcos deportivos o de recreo,dm,A,552
16,ARRANQUE MUELLE PESQUERO S/Nº,7400,39.838250,3.135361,maritima,REPSOL,Suministro a pesqueros,OM,A,552
17,MUELLE PESQUERO S/Nº,7150,39.545484,2.389461,maritima,REPSOL,Suministro a pesqueros,OM,A,556
18,EXPLANADA DEL PUERTO S/N,7639,39.359178,2.951099,maritima,CLUB NAUTICO LA RAPITA,Suministro a barcos deportivos o de recreo,dm,A,4295
19,MUELLE PESQUERO S/Nº,7590,39.709928,3.464183,maritima,REPSOL,Mixto,OM,A,4296
20,CAMI DE BAIX S/N,7760,39.999028,3.829972,maritima,GALP- CLUB NÁUTICO CIUTADELLA  ,Mixto,dm,A,569
21,PASSEIG JOAN CARLES I 20,7800,38.913806,1.443722,maritima,REPSOL,Suministro a barcos deportivos o de recreo,dm,A,570
22,MUELLE COMERCIAL S/Nº,7800,38.913817,1.439183,maritima,REPSOL,Suministro a pesqueros,OM,A,570
23,PASSATGE ES PLA S/N,7748,40.056806,4.129750,maritima,U.S.PUERTO FORNELLS,Suministro a barcos deportivos o de recreo,dm,A,4297
24,MUELLE VIEJO S/N ESPIGÓN EXTERIOR,7001,39.564667,2.638278,maritima,STP,Suministro a barcos deportivos o de recreo,dm,A,591
25,MUELLE VIEJO S/Nº (EL MOLLET),7012,39.566595,2.640572,maritima,REPSOL,Mixto,OM,A,591
26,AVENIDA INGENIERO GABRIEL ROCA S/N,7015,39.556722,2.625639,maritima,CLUB DE MAR - MALLORCA,Suministro a barcos deportivos o de recreo,dm,A,591
27,MUELLE VIEJO S/N,7460,0,0,maritima,POR RELLENAR,Suministro a barcos deportivos o de recreo,OM,A,599
28,MUELLE VIEJO S/N,7470,39.900000,3.083333,maritima,RCNPP,Suministro a barcos deportivos o de recreo,dm,A,4298
29,EXPLANADA DEL MOLL/SN,7638,39.315611,2.999361,maritima,REPSOL,Mixto,dm,A,602
30,MUELLE S/Nº SANTANY,7659,39.331317,3.170294,maritima,REPSOL,Suministro a pesqueros,OM,A,4299
31,MUELLE COMERCIAL S/Nº,7100,39.797150,2.694461,maritima,REPSOL,Mixto,OM,A,620
32,NUEVO PUERTO DE LAREDO S/Nº,7559,39.613917,3.392472,maritima,REPSOL,Mixto,OM,A,4300
33,MUELLE DE BALEARES S/Nº,8003,41.372778,2.185510,maritima,REPSOL,Suministro a pesqueros,OM,A,638
34,PS JOAN DE BORBO 103,8001,41.363417,2.186639,maritima,SHELL,Suministro a barcos deportivos o de recreo,dm,A,638
35,TORRE CAPITANIA  S N    PUERTO DEPORTIVO AIGUADOLC,8870,0,0,maritima,REPSOL,Suministro a barcos deportivos o de recreo,dm,A,803
36,PORT DEL GARRAF,8870,41.249306,1.900056,maritima,PETROPRIX,Suministro a barcos deportivos o de recreo,dm,A,4301
37,LG ENTRE MUELLE DE LA LLOTJA Y PESCADO,8800,41.215917,1.735861,maritima,COFRADIA DE PESCADORS DE VILANOVA I LA GELTRU,Suministro a pesqueros,dm,A,827
38,MUELLE NUEVO S/Nº,48370,43.417250,-2.718222,maritima,REPSOL,Suministro a pesqueros,OM,A,842
39,EGUIDAZU KAIA S/N,48700,43.326417,-2.419056,maritima,REPSOL,Suministro a pesqueros,OM,A,4302
40,PUERTO PESQUERO DEPORTIVO S/Nº,11550,36.746500,-6.429944,maritima,REPSOL,Mixto,OM,A,1074
41,LONJA DE PESCADO DE CONIL DE LA FRONTERA,11140,36.294389,-6.136889,maritima,TRAFALGAR OILS,Mixto,dm,A,1075
42,MUELLE EQUILIÓN S/N,39700,43.382444,-3.221000,maritima,REPSOL,Mixto,OM,A,1137
