id_horario,id_estacion,Horario,Tipo servicio
1,132,L-D: 07:00-22:00,L-D: 07:00-22:00 (A)
2,133,L-D: 7:00-23:00,L-D: 7:00-23:00 (A)
3,134,L-S: 08:00-22:00; D: 09:00-21:00,L-S: 08:00-22:00 (A); D: 09:00-21:00 (A)
4,135,L-D: 06:00-22:00,L-D: 06:00-22:00 (P)
5,136,L-S: 05:00-23:00,L-S: 05:00-23:00 (A)
6,137,L-D: 24H,L-D: 24H (D)
7,138,L-D: 24H,L-D: 24H (A)
8,139,L-S: 09:00-21:30,Sin datos
9,140,L-D: 24H,L-D: 24H (D)
10,141,L-D: 06:00-22:00,L-D: 06:00-22:00 (P)
11,142,L-D: 06:00-22:00,L-D: 06:00-22:00 (A)
12,143,L-D: 06:30-22:30,Sin datos
13,144,L-D: 06:00-23:00,L-D: 06:00-23:00 (A)
14,145,L-D: 24H,L-D: 24H (A)
15,146,L-S: 07:00-23:00; D: 08:00-23:00,L-S: 07:00-23:00 (A); D: 08:00-23:00 (A)
16,147,L-D: 07:00-23:00,L-D: 07:00-23:00 (P)
17,148,L-D: 06:00-22:00,L-D: 06:00-22:00 (P)
18,149,L-D: 06:30-22:00,L-D: 06:30-22:00 (P)
19,150,L-V: 06:00-22:00; S: 07:30-15:30; D: 09:00-15:00,L-V: 06:00-22:00 (A); S: 07:30-15:30 (A); D: 09:00-15:00 (A)
20,151,L-D: 24H,L-D: 24H (A)
21,152,L-V: 07:00-21:00; S-D: 09:00-14:00,Sin datos
22,153,L-D: 07:00-23:00,L-D: 07:00-23:00 (A)
23,154,L-S: 07:00-22:00,L-S: 07:00-22:00 (A)
24,155,L-D: 07:00-23:00,L-D: 07:00-23:00 (P)
25,156,L-D: 24H,L-V: 00:00-06:00 (D). 06:00-22:00 (P). 22:00-23:59 (D); S: 00:00-07:00 (D). 07:00-15:00 (P). 15:00-23:59 (D); D: 24H (D)
26,157,L-D: 24H,L-D: 24H (A)
27,158,L-D: 08:00-16:00,L-D: 08:00-16:00 (A)
28,159,L-S: 07:00-14:00; D: 09:00-14:00,Sin datos
29,160,L-D: 24H,L-D: 24H (A)
30,161,L-D: 06:00-22:00,L-D: 06:00-22:00 (A)
31,162,L-D: 06:00-22:00,L-D: 06:00-22:00 (A)
32,163,L-V: 06:00-22:00,L-V: 06:00-22:00 (A)
33,164,L-V: 07:00-21:00; S-D: 09:00-14:00,L-V: 07:00-21:00 (P); S-D: 09:00-14:00 (P)
34,165,L-V: 06:00-22:00; S: 06:00-14:00,S: 06:00-14:00 (A)
35,166,L-D: 24H,L-D: 24H (A)
36,167,L-D: 06:00-23:30,L-D: 06:00-23:30 (A)
37,168,L-S: 06:00-23:00; D: 08:00-23:00,L-S: 06:00-23:00 (A); D: 08:00-23:00 (A)
38,169,L-D: 24H,L-D: 24H (A)
39,170,L-D: 24H,L-D: 24H (A)
40,171,L-D: 24H,L-D: 24H (A)
41,172,L-D: 24H,L-D: 24H (A)
42,173,L-D: 24H,L-D: 24H (A)
43,174,L-D: 24H,L-V: 00:00-08:30 (D). 08:30-19:00 (A). 19:00-23:59 (D); S-D: 24H (D)
44,175,L-D: 07:00-22:00,L-D: 07:00-22:00 (A)
45,176,L-D: 06:30-22:30,Sin datos
46,177,L-D: 07:00-23:00,Sin datos
47,178,L-D: 24H,L-D: 24H (A)
48,179,L-D: 07:00-21:30,L-D: 07:00-21:30 (A)
49,180,L-D: 08:00-20:00,Sin datos
50,181,L-V: 07:00-17:00,L-V: 07:00-17:00 (A)
51,182,L-D: 06:00-22:00,L-D: 06:00-22:00 (A)
52,183,L-V: 06:00-22:00,L-V: 06:00-22:00 (A)
53,184,L-D: 06:00-22:00,L-D: 06:00-22:00 (A)
54,185,L-D: 24H,L-D: 24H (D)
55,186,L-D: 24H,Sin datos
56,187,L-D: 06:00-22:00,L-D: 06:00-22:00 (A)
57,188,L-D: 06:00-22:00,L-D: 06:00-22:00 (A)
58,189,L-D: 07:00-23:00,L-D: 07:00-23:00 (A)
59,190,L-D: 24H,L-D: 24H (P)
60,191,L-D: 24H,L-D: 24H (A)
61,192,L-D: 24H,L-D: 24H (A)
62,193,L-D: 07:00-23:00,L-D: 07:00-23:00 (A)
63,194,L-D: 06:00-23:00,L-D: 06:00-23:00 (A)
64,195,L-D: 24H,L-D: 24H (A)
65,196,L-D: 07:00-22:00,L-D: 07:00-22:00 (A)
66,197,L-D: 06:00-22:00,L-D: 06:00-22:00 (A)
67,198,L-D: 06:00-22:00,L-D: 06:00-22:00 (A)
68,199,S-D: 07:00-15:00,S-D: 07:00-15:00 (A)
69,200,L-D: 07:00-23:00,L-D: 07:00-23:00 (A)
70,201,L-V: 08:00-13:30 y 15:00-18:00,L-V: 08:00-13:30 (A). 15:00-18:00 (A)
71,202,L-D: 24H,L-D: 24H (A)
72,203,L-D: 07:00-21:00,L-D: 07:00-21:00 (A)
73,204,L-D: 06:00-22:00,L-D: 06:00-22:00 (A)
74,205,L-D: 06:00-22:00,Sin datos
75,206,L-D: 24H,L-D: 24H (A)
76,207,L-D: 06:00-23:00,L-D: 06:00-23:00 (A)
77,208,L-D: 24H,L-D: 24H (D)
78,209,L-D: 24H,L-D: 24H (A)
79,210,L-D: 06:00-23:00,L-D: 06:00-23:00 (A)
80,211,L-D: 06:00-23:00,L-D: 06:00-23:00 (A)
81,212,L: 06:00-22:00,L: 06:00-22:00 (A)
82,213,L-D: 06:00-22:00,L-D: 06:00-22:00 (A)
83,214,L-V: 06:00-22:00; S-D: 07:00-22:00,Sin datos
84,215,L: 06:00-22:00,L: 06:00-22:00 (A)
85,216,L-V: 08:00-21:00; S: 08:00-14:00,L-V: 08:00-21:00 (P); S: 08:00-14:00 (P)
86,217,L: 07:00-21:00,Sin datos
87,218,L-D: 24H,L-D: 24H (A)
88,219,L-D: 07:00-20:00,L-D: 07:00-20:00 (A)
89,220,L-D: 06:00-22:00,L-D: 06:00-22:00 (A)
90,221,L-D: 07:00-21:00,L-D: 07:00-21:00 (A)
91,222,L: 06:00-22:00,L: 06:00-22:00 (A)
92,223,L-D: 06:00-22:00,L-D: 06:00-22:00 (A)
93,224,L-D: 06:00-22:00,Sin datos
94,225,L-D: 24H,L-D: 24H (A)
95,226,L: 06:00-23:00,L: 06:00-23:00 (A)
96,227,L-D: 06:00-23:00,L-D: 06:00-23:00 (A)
97,228,L-D: 08:00-21:00,L-D: 08:00-21:00 (A)
98,229,L-D: 24H,L-D: 24H (A)
99,230,L-D: 06:00-23:00,L: 06:00-23:00 (A)
100,231,L-D: 24H,L-D: 24H (A)
101,232,L-D: 06:30-22:00,L-D: 06:30-22:00 (A)
102,233,L-D: 24H,L-D: 24H (A)
103,234,L-D: 06:00-23:00,L-D: 06:00-23:00 (A)
104,235,L-D: 24H,L-D: 24H (D)
105,236,L-D: 07:00-23:00,L-D: 07:00-23:00 (A)
106,237,L-D: 07:30-21:30,Sin datos
107,238,L-D: 7:00-20:30,L-D: 7:00-20:30 (A)
108,239,L-S: 07:00-15:00,L-S: 07:00-15:00 (A)
109,240,L-D: 06:00-22:00,L-D: 06:00-22:00 (A)
110,241,L-D: 24H,L-D: 24H (A)
111,242,L-D: 24H,L-D: 24H (A)
112,243,L-D: 24H,L-D: 24H (A)
113,244,L-D: 06:00-22:00,Sin datos
114,245,L-D: 07:00-21:00,L-D: 07:00-21:00 (A)
115,246,L-D: 06:30-23:00,L-D: 06:30-23:00 (A)
116,247,L-D: 24H,L-D: 24H (A)
117,248,L-D: 24H,L-D: 24H (D)
118,249,L-D: 06:30-22:30,L-D: 06:30-22:30 (P)
119,250,L-D: 24H,L-D: 24H (A)
120,251,L-D: 07:00-21:00,L-D: 07:00-21:00 (A)
121,252,L-D: 07:00-21:00,L-D: 07:00-21:00 (A)
122,253,L-D: 24H,L-D: 24H (A)
123,254,L-D: 07:30-20:30,Sin datos
124,255,L-D: 24H,L-D: 24H (A)
125,256,L-D: 24H,Sin datos
126,257,L-D: 08:00-20:00,L-D: 08:00-20:00 (D)
127,258,L-V: 07:00-14:00; S: 09:00-14:00,Sin datos
128,259,L-D: 07:00-21:00,L-D: 07:00-21:00 (P)
129,260,L-D: 07:00-10:00,L-D: 07:00-10:00 (P)
130,261,L-D: 24H,L-D: 24H (A)
131,262,L-D: 07:00-22:00,L-D: 07:00-22:00 (A)
132,263,L-D: 08:00-20:00,L-D: 08:00-22:00 (A)
133,264,L-V: 07:00-21:00; S: 07:00-14:30; D: 07:00-21:00,Sin datos
134,264,L-V: 07:00-21:00; S: 07:00-14:30; D: 07:00-21:00,Sin datos
135,265,L-D: 24H,L-D: 24H (D)
136,266,L-D: 24H,L-D: 24H (A)
137,267,L-D: 07:00-23:00,Sin datos
138,268,L-D: 07:00-23:00,Sin datos
139,269,L-D: 06:00-22:00,L-D: 06:00-22:00 (A)
140,270,L-D: 24H,L-D: 24H (A)
141,271,L-D: 24H,L-D: 24H (A)
142,272,L-D: 06:00-22:00,L-D: 06:00-22:00 (A)
143,273,L-V: 06:00-10:00; S: 06:00-14:00,L-V: 06:00-10:00 (A); S: 06:00-14:00 (A)
144,274,L-D: 06:00-22:55,Sin datos
145,275,L-V: 07:00-21:00; S: 09:00-13:00,L-V: 07:00-21:00 (A); S: 09:00-13:00 (A)
146,276,L-S: 06:00-22:00; D: 06:30-22:00,L-S: 06:00-22:00 (A); D: 06:30-22:00 (A)
147,277,L-D: 24H,L-D: 24H (A)
148,278,L-D: 07:00-23:00,L-D: 07:00-23:00 (A)
149,279,L-D: 24H,L-D: 24H (A)
150,280,L-D: 06:00-23:00,L-D: 06:00-23:00 (A)
151,281,L-D: 24H,L-D: 24H (A)
152,282,L-D: 07:00-22:00,L-D: 07:00-22:00 (A)
153,283,L-D: 24H,L-D: 24H (A)
154,284,L-D: 07:30-21:30,Sin datos
155,285,L-D: 24H,L-D: 24H (D)
156,286,L-D: 24H,L-D: 24H (A)
157,287,L-S: 07:00-21:00; D: 07:00-14:00,L-S: 07:00-21:00 (P); D: 07:00-14:00 (P)
158,288,L-D: 00:00-23:59,Sin datos
159,289,L: 24H,L: 24H (D)
160,290,L-D: 07:00-21:00,Sin datos
161,291,L-V: 07:00-21:00; D: 14:00-21:00,L-V: 07:00-21:00 (A); D: 14:00-21:00 (A)
162,292,L-D: 06:00-00:00,L-D: 06:00-00:00 (A)
163,293,L-D: 06:00-22:30,Sin datos
164,294,L-D: 24H,L-D: 24H (A)
165,295,L-S: 08:00-20:00,Sin datos
166,296,L-S: 08:00-22:00,L-S: 08:00-22:00 (A)
167,297,L-D: 06:00-22:00,L-D: 06:00-00:00 (A)
168,298,L-D: 06:00-22:00,L-D: 06:00-22:00 (P)
