id_localidad,nombre,id_municipio
1,ABENGIBRE,1
2,ALATOZ,2
3,ALBACETE,3
4,SANTA ANA,3
5,SALOBRAL (EL),3
6,ALCADOZO,4
7,ALCALA DEL JUCAR,5
8,JARDIN (EL),6
9,ALMANSA,7
10,ALPERA,8
11,BALAZOTE,9
12,BARRAX,10
13,BIENSERVIDA,11
14,BONETE,12
15,BONILLO (EL),13
16,CASAS DE JUAN NUÑEZ,14
17,CASAS DE VES,15
18,CASAS-IBAÑEZ,16
19,CAUDETE,17
20,CENIZATE,18
21,CHINCHILLA DE MONTE-ARAGO,19
22,POZO BUENO,19
23,VILLAR DE CHINCHILLA,19
24,ELCHE DE LA SIERRA,20
25,FUENTE-ALAMO,21
26,FUENTEALBILLA,22
27,GINETA (LA),23
28,GOLOSALVO,24
29,HELLIN,25
30,ISSO,25
31,HIGUERUELA,26
32,HOYA-GONZALO,27
33,LETUR,28
34,LEZUZA,29
35,MADRIGUERAS,30
36,MAHORA,31
37,MINAYA,32
38,MONTEALEGRE DEL CASTILLO,33
39,MOTILLEJA,34
40,MUNERA,35
41,NAVAS DE JORQUERA,36
42,NERPIO,37
43,ONTUR,38
44,OSSA DE MONTIEL,39
45,PEÑAS DE SAN PEDRO,40
46,PETROLA,41
47,POZO CAÑADA,42
48,POZOHONDO,43
49,NAVA DE ABAJO,43
50,POZO-LORENTE,44
51,POZUELO,45
52,RIOPAR,46
53,ROBLEDO,47
54,RODA (LA),48
55,SOCOVOS,49
56,TARAZONA DE LA MANCHA,50
57,TOBARRA,51
58,VALDEGANGA,52
59,VILLALGORDO DEL JUCAR,53
60,VILLAMALEA,54
61,VILLAPALACIOS,55
62,VILLARROBLEDO,56
63,YESTE,57
64,AGOST,58
65,ALBATERA,59
66,ALCALALI,60
67,ALCOY/ALCOI,61
68,ALFAS DEL PI (L'),62
69,ALGORFA,63
70,ALGUEÑA,64
71,ALICANTE/ALACANT,65
72,SANTA FAZ,65
73,BACAROT (EL),65
74,MORALET,65
75,ALMORADI,66
76,ALTEA,67
77,ALTEA LA VELLA,67
78,ASPE,68
